Customer_Age,Gender,Education_Level,Customer_Job,Income,Marital_Status,Dependent_Count,Card_Category,Credit_Limit,Personal_loan,Car_Owner,House_Owner,Cust_Satisfaction_Score,Delinquent_Acc,,,
42,M,Uneducated,Govt,107887,Married,1,Blue,30543,yes,no,no,1,1,,,
53,M,Graduate,Selfemployeed,51233,Married,2,Blue,2980,yes,yes,no,1,1,,,
54,M,Graduate,Blue-collar,79516,Married,2,Blue,1438.3,no,no,no,1,1,,,
48,M,Graduate,Blue-collar,73959,Married,1,Blue,1477,no,no,yes,1,1,,,
42,F,Doctorate,Blue-collar,23377,Single,3,Blue,1826,no,yes,yes,2,1,,,
44,F,Uneducated,Retirees,44883,Single,3,Blue,2664,no,no,yes,3,1,,,
40,F,High School,Retirees,16041,Single,3,Blue,2193,yes,no,no,2,1,,,
58,F,Unknown,Businessman,24221,Married,1,Blue,4088,no,no,yes,3,1,,,
57,F,Graduate,Selfemployeed,14975,Single,1,Blue,14035,no,no,yes,3,1,,,
38,M,Graduate,Blue-collar,102561,Married,2,Blue,9959,no,yes,no,3,1,,,
53,F,Graduate,White-collar,56697,Unknown,1,Blue,6423,no,no,yes,2,0,,,
60,F,Uneducated,Retirees,53022,Single,1,Blue,2310,no,no,no,3,0,,,
51,F,Uneducated,Businessman,32013,Married,3,Blue,11410,yes,yes,no,1,0,,,
39,M,Graduate,Selfemployeed,62192,Single,4,Blue,2228,no,yes,no,2,0,,,
38,F,Post-Graduate,Selfemployeed,55061,Married,2,Blue,11242,no,yes,yes,2,0,,,
50,M,High School,Businessman,127461,Married,2,Gold,34516,no,no,no,3,0,,,
37,M,Uneducated,Businessman,100839,Single,1,Blue,3243,no,yes,no,2,0,,,
39,F,Uneducated,Retirees,31127,Single,1,Blue,12539,no,no,no,2,0,,,
62,M,High School,Selfemployeed,67827,Single,0,Blue,2239,no,no,yes,3,0,,,
38,F,High School,Blue-collar,12994,Married,2,Blue,3032,no,no,yes,1,0,,,
38,F,Graduate,Selfemployeed,5225,Married,1,Blue,2972,no,no,yes,1,0,,,
44,F,Unknown,Govt,35755,Single,1,Blue,5346,yes,no,yes,3,0,,,
60,F,High School,Retirees,24156,Single,2,Blue,14938,no,yes,no,2,0,,,
26,M,Graduate,White-collar,37888,Single,0,Blue,2793,no,no,yes,3,0,,,
41,M,High School,Businessman,145701,Unknown,0,Gold,19671,no,yes,yes,1,0,,,
61,F,Graduate,Businessman,186885,Married,2,Silver,29937,no,yes,no,1,0,,,
39,F,Graduate,Selfemployeed,14975,Single,2,Blue,4844,no,yes,no,1,0,,,
50,F,Graduate,Selfemployeed,49229,Single,1,Blue,7362,no,no,yes,2,0,,,
45,M,Unknown,Govt,81622,Married,2,Blue,5528,no,no,yes,2,0,,,
56,M,Graduate,Blue-collar,95152,Married,2,Blue,2968,no,no,no,2,0,,,
47,F,Graduate,Blue-collar,35666,Single,3,Blue,3761,no,yes,yes,2,0,,,
48,F,Graduate,White-collar,57686,Married,3,Blue,2057,no,no,yes,1,0,,,
37,F,Graduate,Selfemployeed,25423,Married,2,Blue,1666,yes,no,yes,3,0,,,
33,F,High School,Selfemployeed,21500,Single,4,Blue,6088,no,no,no,3,0,,,
41,F,High School,White-collar,47653,Single,1,Blue,2029,no,no,no,3,0,,,
48,F,Graduate,Govt,37680,Married,3,Silver,15069,yes,no,yes,3,0,,,
41,F,Unknown,White-collar,38560,Single,2,Blue,2718,no,yes,yes,2,0,,,
39,F,Graduate,White-collar,41203,Single,1,Blue,34516,no,no,no,1,0,,,
54,F,Graduate,Selfemployeed,14975,Married,2,Blue,1760,no,no,no,2,0,,,
40,F,Uneducated,Businessman,43626,Single,3,Blue,1438.3,no,yes,no,1,0,,,
44,M,Unknown,White-collar,131861,Married,4,Blue,6128,no,yes,no,1,1,,,
38,M,Graduate,White-collar,83306,Unknown,1,Blue,12045,no,yes,no,2,1,,,
29,M,Graduate,Selfemployeed,1250,Single,0,Blue,5639,no,no,no,3,1,,,
63,F,Graduate,White-collar,34835,Single,2,Silver,13608,no,yes,no,2,1,,,
54,M,Unknown,Businessman,92894,Single,1,Blue,4651,no,no,no,1,1,,,
41,F,Graduate,Govt,32170,Married,2,Blue,27389,no,yes,no,3,1,,,
55,M,Unknown,Blue-collar,10119,Single,2,Blue,3549,no,no,no,2,1,,,
31,F,Graduate,Selfemployeed,8250,Single,1,Blue,11749,yes,no,yes,1,1,,,
44,F,High School,Blue-collar,15092,Married,4,Blue,6184,no,no,no,3,1,,,
46,F,Doctorate,Selfemployeed,1250,Married,4,Blue,7882,no,no,yes,1,1,,,
40,M,High School,Govt,110415,Unknown,4,Blue,20798,no,no,yes,2,0,,,
36,M,High School,Govt,86574,Married,3,Blue,1770,no,yes,yes,1,0,,,
37,M,Post-Graduate,Govt,51165,Married,4,Blue,3086,no,yes,no,2,0,,,
59,F,Graduate,Blue-collar,21659,Married,1,Blue,2464,no,no,no,3,0,,,
49,F,Uneducated,Selfemployeed,14975,Single,3,Blue,5659,no,no,yes,3,0,,,
43,F,Unknown,Selfemployeed,15806,Single,5,Blue,10031,no,no,no,3,0,,,
,M,Graduate,Govt,116230,Single,1,Blue,4116,no,yes,yes,3,0,,,
45,F,Doctorate,Businessman,24058,Married,5,Blue,1522,yes,no,no,1,0,,,
63,M,Unknown,Selfemployeed,61485,Unknown,0,Blue,1548,yes,no,no,2,0,,,
51,F,Graduate,Selfemployeed,1250,Married,2,Blue,8249,no,no,no,3,0,,,
42,F,High School,Businessman,41112,Single,3,Silver,32444,yes,no,no,3,0,,,
49,F,Uneducated,Businessman,166923,Married,4,Blue,3471,no,no,no,2,0,,,
51,F,Uneducated,White-collar,34512,Single,1,Blue,9863,no,yes,yes,2,0,,,
27,M,Graduate,Selfemployeed,42779,Married,0,Blue,21800,yes,no,no,1,0,,,
42,M,High School,Blue-collar,42334,Unknown,2,Blue,3173,no,no,no,3,0,,,
53,M,Graduate,Businessman,111220,Single,3,Blue,7769,no,yes,no,2,0,,,
48,M,Unknown,Blue-collar,64665,Married,4,Blue,2061,no,no,yes,1,0,,,
44,F,High School,Selfemployeed,11638,Single,4,Blue,2495,yes,no,yes,2,0,,,
39,F,Graduate,Blue-collar,16112,Married,0,Blue,2509,no,no,yes,2,0,,,
41,M,Graduate,Businessman,111730,Married,2,Blue,14938,no,no,no,1,0,,,
46,F,Unknown,Govt,34013,Single,4,Blue,16815,yes,no,no,1,0,,,
38,F,Doctorate,Businessman,38164,Married,4,Blue,1438.3,no,no,no,2,0,,,
56,F,Graduate,Selfemployeed,14975,Married,1,Silver,34516,no,yes,no,1,0,,,
40,M,Uneducated,Govt,82412,Single,2,Blue,2800,yes,no,yes,2,0,,,
55,F,Graduate,White-collar,39861,Single,3,Blue,19430,yes,no,yes,2,0,,,
42,M,Graduate,Blue-collar,60037,Single,4,Blue,3022,no,no,no,3,1,,,
47,M,Uneducated,Govt,101602,Married,2,Gold,15487,no,yes,no,1,1,,,
50,M,High School,Blue-collar,86281,Unknown,1,Blue,4662,no,no,yes,2,1,,,
41,F,High School,Blue-collar,20495,Married,3,Blue,3356,no,yes,no,2,1,,,
45,F,Post-Graduate,Govt,57624,Single,4,Blue,2776,no,no,no,1,1,,,
43,F,Graduate,Govt,21828,Unknown,4,Blue,0,no,no,yes,3,1,,,
42,M,Uneducated,White-collar,71834,Single,2,Blue,2147,no,yes,no,1,0,,,
35,F,Unknown,Selfemployeed,30259,Married,1,Blue,2292,no,no,no,2,0,,,
45,F,High School,Blue-collar,28037,Unknown,1,Blue,2745,no,no,no,3,0,,,
54,M,Post-Graduate,Govt,119059,Unknown,1,Silver,11059,no,no,yes,2,0,,,
42,F,Graduate,Blue-collar,19006,Married,5,Blue,1561,no,yes,no,3,0,,,
37,M,High School,Businessman,165306,Single,3,Blue,5500,yes,no,yes,3,0,,,
49,M,High School,Retirees,53965,Single,2,Blue,2421,no,no,no,1,0,,,
36,M,Unknown,Retirees,711640,Single,3,Blue,2685,no,yes,no,2,0,,,
55,F,Post-Graduate,Selfemployeed,45818,Single,3,Blue,2337,no,yes,yes,1,0,,,
44,M,Unknown,White-collar,119585,Single,3,Blue,2490,no,no,no,1,0,,,
45,F,High School,White-collar,57821,Married,3,Blue,3805,no,no,no,1,0,,,
41,F,High School,Govt,12775,Unknown,3,Blue,4394,no,no,yes,3,0,,,
45,M,Unknown,White-collar,76565,Married,3,Blue,2548,no,no,yes,2,0,,,
57,M,Unknown,Govt,78127,Single,3,Blue,4549,yes,yes,yes,3,0,,,
48,M,Uneducated,Retirees,60111,Single,3,Silver,15133,no,no,no,2,0,,,
49,F,Unknown,Blue-collar,32229,Single,3,Blue,27804,no,no,no,2,0,,,
57,M,Unknown,Blue-collar,95876,Single,2,Blue,3436,yes,no,yes,2,0,,,
62,F,Unknown,White-collar,23378,Married,1,Blue,1457,no,yes,yes,2,0,,,
45,F,Graduate,Blue-collar,41115,Single,3,Blue,2845,no,no,yes,3,0,,,
53,F,Unknown,Blue-collar,28601,Single,4,Blue,2372,no,no,yes,2,0,,,
44,M,Graduate,Blue-collar,76246,Married,3,Blue,22599,no,no,yes,3,0,,,
54,F,High School,Selfemployeed,6550,Single,2,Blue,3342,no,no,no,2,0,,,
48,F,Doctorate,Businessman,35491,Married,1,Blue,6103,no,no,no,2,0,,,
60,F,Uneducated,Businessman,38451,Married,1,Blue,5816,no,yes,yes,3,0,,,
33,M,Graduate,Blue-collar,72412,Married,3,Blue,2035,no,no,no,2,0,,,
57,M,Graduate,White-collar,118175,Single,3,Gold,34516,no,yes,no,2,0,,,
41,F,Graduate,Blue-collar,14633,Married,2,Blue,11789,no,no,no,3,0,,,
62,M,Graduate,Govt,61002,Single,1,Blue,3164,no,no,no,2,0,,,
52,F,Unknown,Blue-collar,10627,Single,2,Blue,6735,no,no,no,2,1,,,
41,M,High School,Selfemployeed,30828,Single,4,Blue,3049,yes,no,no,3,1,,,
42,F,Graduate,Businessman,42377,Married,4,Blue,6182,no,yes,no,2,1,,,
44,F,Uneducated,Blue-collar,20389,Married,4,Blue,3305,no,no,no,3,1,,,
51,F,High School,Blue-collar,20281,Single,3,Blue,2946,no,no,yes,3,1,,,
40,F,High School,Businessman,200276,Married,2,Blue,3850,no,yes,yes,2,1,,,
38,M,Unknown,Businessman,97684,Married,2,Blue,2605,no,yes,no,0,1,,,
26,F,Graduate,Retirees,40785,Single,0,Blue,5090,no,yes,no,2,1,,,
42,F,Graduate,Businessman,41039,Married,3,Blue,16050,no,no,yes,2,1,,,
33,F,Graduate,Selfemployeed,6550,Single,0,Blue,10244,no,no,yes,2,0,,,
45,F,Uneducated,Selfemployeed,14975,Married,5,Blue,5815,yes,no,yes,2,0,,,
54,F,Graduate,Businessman,235349,Married,4,Silver,5189,no,no,no,2,0,,,
57,F,Uneducated,Selfemployeed,38273,Single,3,Blue,5395,no,no,yes,3,0,,,
47,M,Graduate,White-collar,105522,Married,2,Blue,6680,yes,no,yes,2,0,,,
44,M,Unknown,Govt,6779787,Married,5,Blue,1677,no,yes,no,3,0,,,
50,M,Graduate,Blue-collar,108894,Married,4,Blue,12294,no,no,no,3,0,,,
55,F,Doctorate,Selfemployeed,5525,Married,1,Blue,33791,no,yes,yes,3,0,,,
45,F,Uneducated,White-collar,58670,Married,2,Blue,5573,no,no,yes,3,0,,,
65,F,Uneducated,Govt,23891,Single,0,Blue,2163,no,no,no,3,0,,,
26,F,Graduate,Retirees,40785,Single,0,Blue,5090,no,yes,no,2,1,,,
51,M,Graduate,Businessman,219668,Married,2,Silver,9959,yes,yes,no,2,0,,,
39,M,Unknown,Blue-collar,58122,Married,2,Blue,28600,no,yes,no,3,0,,,
59,F,Doctorate,Retirees,15671,Single,0,Blue,16547,no,yes,no,3,0,,,
45,F,Uneducated,Businessman,23898,Married,3,Blue,2515,yes,yes,yes,3,0,,,
56,F,Doctorate,Retirees,38817,Single,5,Blue,1438.3,no,yes,no,3,0,,,
46,F,Graduate,Businessman,43716,Married,3,Blue,13906,no,no,yes,2,0,,,
56,F,Graduate,Selfemployeed,6550,Single,2,Blue,15088,no,no,no,2,0,,,
48,F,Post-Graduate,Selfemployeed,41132,Married,5,Blue,1902,no,no,no,3,0,,,
33,M,Graduate,Govt,117520,Single,1,Blue,4613,no,yes,yes,2,0,,,
45,F,High School,White-collar,32495,Married,3,Blue,2279,no,no,yes,3,0,,,
43,F,Graduate,Businessman,48566,Single,4,Silver,15525,no,no,no,2,0,,,
40,M,Unknown,Businessman,113841,Married,4,Silver,17812,no,no,yes,2,0,,,
35,F,High School,Blue-collar,17340,Single,2,Blue,34516,no,yes,no,3,0,,,
48,F,Graduate,Blue-collar,45372,Married,2,Silver,26218,no,yes,no,2,0,,,
47,F,Uneducated,Retirees,37815,Married,3,Blue,10960,no,no,yes,2,0,,,
52,M,Uneducated,Selfemployeed,83535,Single,1,Blue,2884,yes,no,no,2,0,,,
55,M,Unknown,Blue-collar,78913,Single,4,Blue,1477,no,no,no,3,0,,,
34,F,Uneducated,Selfemployeed,1250,Single,4,Blue,1438.3,no,yes,no,3,0,,,
55,F,High School,Businessman,214404,Single,2,Blue,4905,no,no,no,2,0,,,
48,M,Graduate,Retirees,45977,Single,3,Blue,1663,no,yes,yes,3,0,,,
40,F,High School,Selfemployeed,34616,Single,5,Blue,4323,no,no,no,3,0,,,
55,F,Uneducated,White-collar,57484,Married,4,Blue,3809,no,no,yes,2,0,,,
45,F,High School,Businessman,53906,Married,4,Blue,4712,no,no,yes,2,0,,,
42,F,Graduate,Blue-collar,52148,Married,4,Blue,2588,no,no,yes,3,0,,,
47,F,Unknown,Businessman,20597,Single,2,Blue,2694,no,yes,yes,2,0,,,
36,F,Uneducated,Businessman,198343,Single,1,Blue,12299,no,no,yes,3,0,,,
34,M,High School,Govt,50792,Married,3,Blue,2156,no,no,no,2,0,,,
44,F,Graduate,Blue-collar,13010,Unknown,2,Blue,3187,no,no,no,2,0,,,
40,F,Unknown,Govt,34149,Married,3,Blue,11419,no,yes,yes,2,0,,,
58,M,Unknown,Blue-collar,75578,Married,1,Blue,6274,yes,no,yes,2,0,,,
33,M,Graduate,White-collar,114717,Single,1,Blue,9959,no,no,no,3,0,,,
36,F,Graduate,Govt,31226,Single,2,Blue,2904,no,no,no,2,0,,,
50,F,Uneducated,Retirees,48968,Married,2,Blue,3862,yes,no,no,3,0,,,
51,F,Post-Graduate,Govt,46675,Single,1,Blue,19897,no,no,yes,3,0,,,
38,M,Graduate,Selfemployeed,60253,Single,1,Blue,2495,no,yes,no,2,0,,,
55,F,Doctorate,Businessman,20631,Single,2,Blue,2607,no,yes,yes,2,0,,,
59,M,High School,Govt,94345,Single,0,Blue,1438.3,no,yes,no,2,0,,,
45,M,High School,Retirees,90458,Married,4,Blue,2055,no,no,no,2,0,,,
41,M,Uneducated,Selfemployeed,87971,Married,3,Blue,3264,no,no,no,2,0,,,
49,M,Doctorate,Govt,74928,Married,4,Blue,2148,no,yes,no,1,0,,,
51,M,Uneducated,Businessman,203890,Married,3,Silver,3548,no,no,no,2,0,,,
44,F,Graduate,Businessman,18357,Single,4,Blue,22157,yes,no,no,2,0,,,
48,M,Unknown,Selfemployeed,41925,Married,3,Blue,9949,no,no,no,3,0,,,
43,M,High School,Businessman,62768,Married,1,Blue,1770,yes,yes,no,2,0,,,
37,M,High School,Govt,75192,Single,3,Blue,3714,no,no,yes,3,0,,,
40,F,Uneducated,Selfemployeed,14975,Married,2,Blue,5894,no,no,no,3,0,,,
54,M,Unknown,White-collar,118629,Married,2,Gold,34516,no,no,yes,1,0,,,
53,M,Unknown,Govt,111225,Married,3,Blue,11476,no,no,yes,3,0,,,
51,F,Graduate,Businessman,196200,Married,3,Silver,29531,no,yes,no,1,0,,,
50,F,Post-Graduate,Businessman,183118,Single,3,Silver,13026,no,yes,yes,2,0,,,
50,F,Post-Graduate,Businessman,36188,Married,0,Blue,3157,no,yes,yes,3,0,,,
58,M,Graduate,Selfemployeed,14975,Single,0,Blue,2637,no,no,no,2,0,,,
51,F,Doctorate,Blue-collar,13704,Married,1,Gold,23981,no,no,yes,1,0,,,
41,F,Graduate,Selfemployeed,12686,Married,2,Blue,14551,yes,yes,no,3,0,,,
47,F,Doctorate,Blue-collar,33801,Married,1,Blue,18293,no,yes,no,2,0,,,
44,F,Graduate,Retirees,26226,Single,2,Blue,3111,no,no,yes,2,0,,,
37,M,Unknown,Blue-collar,55576,Single,2,Blue,1656,no,no,yes,1,0,,,
51,M,High School,Businessman,61579,Married,3,Blue,6836,no,yes,yes,3,0,,,
39,F,High School,Selfemployeed,14975,Single,4,Blue,15965,no,yes,yes,3,0,,,
35,F,Doctorate,White-collar,16316,Married,0,Blue,2731,no,no,yes,3,0,,,
45,F,Uneducated,Govt,26447,Married,4,Blue,1677,no,yes,yes,2,0,,,
56,F,Graduate,Selfemployeed,32924,Single,3,Blue,2858,no,yes,yes,1,0,,,
49,M,Doctorate,Blue-collar,45984,Single,5,Blue,3337,yes,no,yes,2,0,,,
55,M,Unknown,Businessman,87531,Single,2,Blue,1610,no,no,yes,2,0,,,
47,F,Unknown,Govt,45701,Married,4,Blue,2887,no,yes,no,1,1,,,
65,M,Graduate,White-collar,18114,Single,0,Blue,1544,no,no,yes,3,1,,,
37,M,Doctorate,Govt,73096,Single,3,Blue,3119,yes,no,yes,3,1,,,
40,M,Unknown,Govt,44044,Single,3,Blue,1960,no,no,no,1,1,,,
48,M,Graduate,Govt,68693,Married,3,Blue,3828,no,no,yes,3,1,,,
36,F,Graduate,Govt,35767,Single,4,Blue,4369,no,yes,no,1,1,,,
48,F,Graduate,White-collar,23554,Single,2,Blue,6053,no,yes,yes,1,1,,,
47,F,High School,Govt,52557,Single,3,Blue,1438.3,no,yes,yes,2,1,,,
31,F,Graduate,Blue-collar,21274,Single,0,Blue,18278,no,yes,no,3,0,,,
53,M,Unknown,Govt,50213,Married,3,Blue,5242,no,no,no,3,0,,,
33,F,Graduate,Blue-collar,16244,Married,3,Blue,11336,no,no,yes,2,0,,,
41,M,Graduate,Govt,78702,Single,3,Blue,1904,no,no,no,2,0,,,
,F,Unknown,White-collar,38269,Single,1,Blue,17345,no,no,no,1,0,,,
28,M,Post-Graduate,Selfemployeed,14975,Married,0,Blue,13019,no,yes,no,3,0,,,
40,F,Uneducated,Retirees,36638,Married,1,Blue,5858,no,no,no,1,0,,,
35,F,Uneducated,Blue-collar,39538,Married,1,Blue,17116,no,no,no,2,0,,,
51,F,Doctorate,Businessman,214064,Married,3,Gold,16703,no,yes,yes,1,0,,,
56,F,Graduate,White-collar,25413,Single,1,Blue,2043,no,yes,yes,2,0,,,
42,M,Uneducated,White-collar,65425,Single,3,Blue,2291,no,no,no,2,0,,,
60,F,High School,Businessman,30594,Single,1,Blue,6114,yes,yes,yes,3,0,,,
27,F,High School,White-collar,20322,Single,1,Platinum,15987,no,no,yes,1,0,,,
42,F,Graduate,Blue-collar,12264,Unknown,2,Blue,5267,no,yes,yes,1,0,,,
38,F,Unknown,White-collar,43330,Married,1,Blue,2694,no,yes,no,2,0,,,
57,F,Graduate,Businessman,27897,Married,1,Blue,1737,no,no,no,2,0,,,
53,M,Graduate,Businessman,113458,Single,1,Silver,27945,no,no,no,2,0,,,
39,F,High School,Selfemployeed,10286,Single,0,Blue,14270,no,no,no,1,0,,,
48,F,High School,Businessman,47309,Single,3,Blue,3654,no,yes,no,1,0,,,
49,F,Graduate,Blue-collar,13305,Married,4,Blue,8129,no,no,no,2,0,,,
54,F,High School,Blue-collar,16829,Single,1,Blue,5140,no,no,yes,1,0,,,
32,M,High School,Retirees,72173,Married,2,Blue,20401,yes,yes,yes,2,0,,,
49,M,Doctorate,Govt,94093,Married,3,Blue,5495,no,no,yes,2,0,,,
51,M,Doctorate,Blue-collar,50004,Single,2,Blue,2072,no,no,yes,1,0,,,
43,F,Uneducated,Businessman,541,Married,5,Blue,34516,no,yes,yes,3,0,,,
53,F,Graduate,White-collar,15566,Married,3,Blue,4852,no,yes,no,3,0,,,
50,M,Uneducated,Businessman,86542,Married,1,Blue,2043,no,yes,yes,1,0,,,
49,F,Uneducated,Selfemployeed,19558,Married,4,Blue,3245,no,yes,no,1,0,,,
42,M,Graduate,White-collar,115771,Married,2,Blue,2838,no,no,yes,3,0,,,
48,F,Uneducated,Retirees,23705,Married,3,Blue,4152,no,yes,no,1,0,,,
47,F,Graduate,Selfemployeed,14975,Single,3,Silver,13626,yes,yes,yes,3,0,,,
48,F,Post-Graduate,Selfemployeed,14975,Single,3,Blue,3140,no,no,yes,3,0,,,
31,M,Post-Graduate,White-collar,76589,Married,1,Blue,2406,no,yes,yes,3,0,,,
43,F,High School,Blue-collar,25474,Married,1,Blue,1506,no,yes,yes,2,0,,,
51,M,High School,Govt,102868,Married,2,Silver,12569,no,yes,yes,3,0,,,
54,F,Graduate,Businessman,183156,Single,1,Blue,3150,no,yes,no,2,0,,,
46,M,Graduate,White-collar,116731,Single,0,Blue,34516,no,no,yes,2,0,,,
46,M,Graduate,Blue-collar,83739,Married,3,Blue,1438.3,no,no,no,2,0,,,
37,M,High School,Businessman,47266,Married,3,Blue,2370,no,yes,no,2,0,,,
41,F,Graduate,White-collar,20731,Married,1,Blue,3698,no,no,no,2,0,,,
40,F,Graduate,Govt,23108,Single,3,Blue,2045,no,yes,no,3,0,,,
52,F,Uneducated,White-collar,32691,Single,1,Blue,2804,no,no,yes,3,0,,,
50,F,Uneducated,White-collar,30977,Married,3,Blue,1584,no,no,no,2,0,,,
37,F,High School,Selfemployeed,28042,Single,2,Blue,2809,no,yes,no,3,0,,,
47,F,Graduate,Blue-collar,37378,Married,3,Blue,2480,yes,yes,no,3,0,,,
32,F,Uneducated,Blue-collar,29521,Married,0,Blue,2422,no,yes,yes,2,0,,,
49,F,High School,Businessman,49321,Single,2,Silver,34516,no,no,no,3,0,,,
26,F,Unknown,Selfemployeed,14975,Single,0,Blue,18871,no,no,no,2,0,,,
38,M,Graduate,Govt,64708,Single,5,Blue,2289,no,no,no,2,0,,,
38,F,Post-Graduate,White-collar,17936,Unknown,3,Silver,13441,no,no,no,2,0,,,
57,M,High School,Govt,41858,Married,1,Blue,4489,no,yes,no,2,0,,,
39,M,High School,White-collar,124810,Married,1,Gold,5158,no,yes,no,2,0,,,
44,F,Graduate,Blue-collar,34283,Single,4,Blue,2609,yes,no,no,3,0,,,
45,F,Graduate,Selfemployeed,43493,Single,0,Blue,3413,no,yes,no,2,0,,,
38,F,Unknown,Govt,50635,Married,3,Blue,2262,no,no,yes,3,0,,,
47,F,Uneducated,Businessman,23265,Single,4,Blue,1451,no,no,no,3,0,,,
58,F,Doctorate,Blue-collar,34410,Single,0,Blue,3933,no,yes,no,2,0,,,
31,F,Graduate,Selfemployeed,14975,Married,0,Blue,1438.3,no,no,yes,2,0,,,
49,F,High School,Blue-collar,21900,Single,2,Blue,5349,no,no,yes,2,0,,,
51,F,Uneducated,Blue-collar,24977,Married,2,Blue,2544,yes,yes,no,2,0,,,
40,F,Unknown,Businessman,21586,Married,4,Blue,2269,yes,no,yes,2,0,,,
